,skills,job_title
0,"Immediate,opening,administrative,role,company,We,looking,reliable,friendly,individual,interact,daily,customers,drivers,Job,duties,include,booking,appointments,phone,email,tracking,updating,information,software,system,interacting,customers,regarding,status,shipment,administrative,functions,required,Successful,candidates,strong,administrative,background,experience,trucking,transportation,industry,asset,Job,Types,Full,time,Permanent,Salary,From,18,00,per,hour,Additional,pay,Overtime,pay,Benefits,Dental,care,Extended,health,care,Life,insurance,Vision,care,Schedule,8,hour,shift,Monday,Friday,Education,Secondary,School,Preferred,Experience,administrative,assistant,1,year,Preferred,Customer,service,1,year,Preferred,Work,remotely,No,COVID,19,precaution,Personal,protective,equipment,provided,required,Social,distancing,guidelines,place,Sanitizing,disinfecting,cleaning,procedures,place,5,days,ago,Report,job",Appointments Clerk
1,"Police,File,Reviewer,Regular,Full,Time,2,Vacancies,One,BC,Top,Employers,City,Coquitlam,offers,meaningful,career,opportunities,make,difference,within,local,community,As,sixth,largest,city,BC,home,150,000,residents,Our,diverse,municipality,great,place,work,continues,grow,innovative,urban,design,inspiring,arts,culture,recreation,programs,state,art,transportation,systems,Our,brand,built,managing,resources,responsible,sustainable,manner,supporting,vibrant,growing,regional,urban,centre,We,envision,bright,future,Coquitlam,hope,includes,We,seeking,collaborative,detailed,oriented,organized,individual,exceptional,customer,service,skills,join,RCMP,Civilian,Police,Services,Department,Police,File,Reviewer,This,role,challenging,fast,paced,involving,preparation,processing,maintenance,police,files,utilizing,Police,Records,Information,Management,System,PRIME,This,role,requires,incumbent,superior,typing,data,entry,communication,skills,verbal,written,order,effectively,prepare,process,maintain,variety,records,reports,related,material,well,provide,information,regarding,file,content,internal,external,contacts,Previous,experience,training,plus,sound,knowledge,methods,practices,procedures,used,operating,PRIME,computer,system,preferred,Hours,work,regular,full,time,positions,work,24,hour,rotating,shift,work,7,days,per,week,follow,compressed,work,week,schedule,four,10,hour,shifts,two,days,two,nights,Good,people,make,Coquitlam,great,sign,career,alerts,recruitment,portal,stay,date,opportunities,within,team,follow,us,LinkedIn,learn,YouCouldWorkHere,The,City,offers,competitive,salary,ranging,25,82,30,33,per,hour,excellent,benefits,package,Applicants,consideration,required,obtain,maintain,RCMP,Enhanced,Security,Clearance,Please,apply,online,www,coquitlam,ca,careers,11,55pm,March,12,2021,The,City,Coquitlam,Equal,Opportunity,Employer,We,thank,applicants,interest,however,selected,interview,contacted,Education,Other,trades,certificate,diploma,Experience,Experience,asset,CivicJobs,ca,5,days,ago,Report,job",Police File Reviewer
2,"Sport,Services,Program,Attendant,Regular,Full,Time,One,BC,Top,Employers,City,Coquitlam,sixth,largest,city,BC,home,150,000,residents,Our,municipality,continues,grow,innovative,urban,design,inspiring,arts,culture,recreation,programs,state,art,transportation,systems,Our,brand,built,managing,resources,responsible,sustainable,manner,supporting,vibrant,growing,regional,urban,centre,We,currently,recruiting,fill,brand,new,opportunity,within,Sport,Services,division,Sport,Services,Program,Attendant,The,Sport,Services,Program,Attendant,responsible,parks,maintenance,variety,manual,work,internal,external,sport,programs,events,tournaments,activities,City,parks,sport,amenities,This,role,assist,care,upkeep,parks,sport,amenities,set,take,equipment,various,park,engaged,events,provide,orientation,direction,volunteers,In,conjunction,superior,employee,class,provide,support,assistance,organization,delivery,parks,related,programs,activities,make,arrangements,supplies,materials,equipment,venue,bookings,In,addition,work,may,involve,operation,vehicle,various,equipment,required,complete,assigned,tasks,The,incumbent,exercises,independence,action,judgement,day,day,functions,refers,unusual,problems,policy,matters,superior,checks,reviews,work,ensure,maintenance,established,standards,The,successful,incumbent,sound,knowledge,policies,rules,regulations,relating,use,City,parks,sport,amenities,set,procedures,equipment,used,events,tournaments,activities,well,methods,materials,tools,equipment,used,maintaining,grounds,City,parks,sport,amenities,The,ability,perform,laborious,work,lifting,moving,heavy,objects,well,using,various,power,tools,expected,Completion,Grade,12,required,well,successfully,completed,post,secondary,courses,recreation,sport,administration,turf,care,horticulture,plus,experience,general,parks,maintenance,volunteer,coordination,equivalent,combination,training,experience,The,successful,candidate,must,valid,BC,driver,license,In,order,provide,high,level,service,community,Sport,Services,Program,Attendant,expected,work,flexible,schedule,include,evening,weekend,work,A,CUPE,hourly,rate,30,11,2020,rates,comprehensive,benefits,package,earned,day,program,offered,Applicants,consideration,required,undergo,police,security,clearance,evaluation,Please,apply,online,www,coquitlam,ca,careers,11,55,pm,March,14,2021,The,City,Coquitlam,Equal,Opportunity,Employer,We,thank,applicants,interest,however,selected,interview,contacted,9,days,ago,Report,job",Sport Services Program Attendant
3,"At,ICBC,job,make,sure,car,insurance,system,works,British,Columbians,today,future,If,want,make,skills,expertise,growing,career,want,A,career,ICBC,opportunity,part,talented,diverse,inclusive,team,driven,serve,customers,community,You,expect,competitive,salary,comprehensive,benefits,collaborative,work,environment,If,reliable,dependable,contact,us,today,part,talented,diverse,team,work,together,create,insurance,system,proud,We,welcome,applications,qualified,job,seekers,If,job,seeker,disability,please,let,us,know,adjustments,made,help,support,delivering,best,performance,Driver,Examiner,Temporary,Job,Title,Driver,Examiner,I,Reference,Number,114102B,Location,Various,Locations,Employment,Type,Temporary,Full,Time,Hours,Work,7,5,hr,Day,Shift,M,F,Posted,Date,2021,03,05,Position,Highlights,ICBC,continuing,expand,road,testing,phased,approach,looking,hire,additional,Driver,Examiners,initial,term,six,6,months,Our,customers,rely,driver,licensing,services,including,road,tests,ensure,drive,work,get,work,school,volunteering,important,daily,activities,As,Driver,Examiner,key,focus,conduct,road,tests,determine,knowledge,ability,drivers,safely,operate,commercial,vehicles,passenger,vehicles,Training,provided,first,three,3,weeks,Collision,Repair,Learning,Centre,8350,East,Lake,Drive,Burnaby,Training,start,April,12,May,3,2021,What,bring,Ability,provide,exceptional,customer,service,Ability,make,decisions,independently,challenging,customer,situations,Ability,work,variable,working,conditions,weather,customer,vehicles,etc,Data,entry,skills,cash,handling,experience,asset,Position,Requirements,Additional,requirements,include,Successful,completion,health,assessment,based,job,requirements,Completion,clean,criminal,record,check,Ministry,Public,Safety,Solicitor,General,required,Criminal,Records,Review,Act,Forms,provided,selected,Possession,valid,class,5,BC,driver,license,better,clean,driving,record,Meet,eligibility,requirement,successfully,complete,AAMVA,Driver,Examiner,Certificate,Program,Our,main,priority,protect,health,safety,employees,customers,Safety,protocols,required,Personal,Protective,Equipment,masks,eye,protection,optional,gloves,seat,covers,provided,road,examinations,Hours,operation,flexibility,within,hours,8am,6pm,Monday,Friday,9am,5pm,Saturdays,Locations,located,Lower,Mainland,The,offer,employment,position,Driver,Examiner,conditional,successful,completion,class,5,7,training,testing,probationary,period,This,role,Bargaining,Unit,position,The,wage,firm,26,59,hour,Only,candidates,legally,entitled,work,Canada,considered,position,1,day,ago,Report,job",Driver Examiner
4,"At,Lowe,Canada,26,000,employees,let,passion,blossom,every,day,Our,teams,driven,desire,help,people,bring,projects,life,committed,making,difference,communities,serve,We,operate,service,470,corporate,affiliated,dealer,stores,With,distinctive,product,service,offering,complementary,store,formats,ranging,neighbourhood,hardware,stores,big,box,stores,Lowe,RONA,Reno,Depot,Dick,Lumber,banners,always,looking,dedicated,employees,help,meet,needs,DIYers,contractors,You,got,talent,We,got,tools,Here,work,ideas,contribute,building,flourishing,organization,Your,voice,always,heard,valued,You,find,career,opportunities,live,ambitions,able,develop,unique,set,skills,So,looking,love,grow,evolve,within,family,one,best,employers,Canada,according,recent,Forbes,survey,could,perfect,Your,role,Ensure,optimal,stock,replenishing,according,store,needs,analysing,correcting,perform,work,store,system,Analyze,review,encode,promotional,orders,Carry,follow,promotional,orders,directly,suppliers,making,sure,commercial,conditions,stated,purchase,order,respected,Ensure,product,resupply,according,store,receiving,storing,rotation,capacities,Inform,customers,supplier,delays,inform,merchandiser,intervention,needed,Respect,stock,objectives,inventory,budgets,store,rotation,products,responsibility,Evaluate,supplier,service,level,delivery,delay,stores,inform,merchandiser,intervention,necessary,Perform,duties,requested,supervisor,Job,Requirements,The,qualifications,looking,Good,efficient,communication,skills,ease,team,work,Organization,autonomy,skills,enthusiasm,Available,able,work,changing,environment,Your,benefits,working,Lowe,Canada,By,joining,Lowe,Canada,family,enjoy,many,benefits,An,inclusive,safe,working,environment,Promotion,work,life,balance,Exclusive,employee,discounts,Benefits,insurance,certain,conditions,apply,annual,salary,review,etc,Opportunities,advancement,within,company,An,employer,involved,community,Teamwork,ongoing,training,A,comprehensive,training,program,new,hires,A,company,discount,store,merchandise,A,student,incentive,program,And,much,The,masculine,generic,used,without,discrimination,order,simplify,text,Lowe,Canada,committed,encouraging,diversity,inclusion,We,pleased,consider,applications,qualified,candidates,regardless,race,colour,religion,sexual,orientation,gender,nationality,age,disability,status,protected,law,2,days,ago,Report,job",Merch
5,"At,Lowe,Canada,26,000,employees,let,passion,blossom,every,day,Our,teams,driven,desire,help,people,bring,projects,life,committed,making,difference,communities,serve,We,operate,service,470,corporate,affiliated,dealer,stores,With,distinctive,product,service,offering,complementary,store,formats,ranging,neighbourhood,hardware,stores,big,box,stores,Lowe,RONA,Reno,Depot,Dick,Lumber,banners,always,looking,dedicated,employees,help,meet,needs,DIYers,contractors,You,got,talent,We,got,tools,Here,work,ideas,contribute,building,flourishing,organization,Your,voice,always,heard,valued,You,find,career,opportunities,live,ambitions,able,develop,unique,set,skills,So,looking,love,grow,evolve,within,family,one,best,employers,Canada,according,recent,Forbes,survey,could,perfect,Your,role,Greet,customers,warmly,ensure,good,customer,experience,Assess,customer,needs,provide,expert,advice,horticulture,nursery,department,products,Present,demonstrate,product,highlighting,positive,features,suggest,complementary,products,Maintaining,plants,Support,marketing,products,department,display,merchandise,visual,presentation,labelling,Keep,date,new,products,functions,Ensure,participate,maintenance,department,Be,aware,current,promotions,flyers,Develop,basic,knowledge,departments,store,If,required,operate,forklift,accordance,procedures,policies,organization,Comply,policies,procedures,regarding,loss,prevention,breakage,goods,health,safety,Perform,duties,requested,supervisor,Job,Requirements,The,qualifications,looking,Do,like,physical,work,without,renovation,pro,Do,knack,first,class,customer,service,You,takes,team,ASSET,experience,customer,service,plus,knowledge,Garden,Centre,department,Your,benefits,working,Lowe,Canada,By,joining,Lowe,Canada,family,enjoy,many,benefits,A,fitness,centre,sports,activities,showers,A,childcare,centre,accommodate,78,children,A,cafeteria,delicious,menu,prepared,dedicated,chef,healthy,options,well,Starbucks,Tim,Hortons,coffee,stations,Exclusive,employee,discounts,plus,10,discount,store,merchandise,Lowe,Canada,locations,Benefits,retirement,savings,plan,annual,bonuses,stock,purchase,plan,student,incentive,program,etc,Flexible,hours,remote,working,Electric,car,charging,stations,Career,growth,opportunities,within,company,An,inclusive,safe,working,environment,Promotion,work,life,balance,An,employer,involved,community,And,much,The,masculine,generic,used,without,discrimination,order,simplify,text,Lowe,Canada,committed,encouraging,diversity,inclusion,We,pleased,consider,applications,qualified,candidates,regardless,race,colour,religion,sexual,orientation,gender,nationality,age,disability,status,protected,law,2,days,ago,Report,job",Advisor
6,"OFFICE,COORDINATOR,NOVERO,Homes,Renovations,looking,friendly,experienced,office,coordinator,join,close,knit,work,family,This,position,based,head,office,showroom,Port,Coquitlam,We,position,requires,someone,understanding,construction,design,high,competency,office,administration,project,coordination,multitasking,Position,Overview,The,Office,Coordinator,plays,important,service,oriented,role,supporting,NOVERO,team,encompasses,range,responsibilities,The,position,requires,highly,efficient,focused,individual,able,coordinate,multiple,tasks,projects,given,time,providing,high,level,service,This,individual,must,high,attention,detail,extremely,organized,ideally,understanding,home,design,materials,construction,Other,qualities,role,include,self,starter,working,independently,team,Previous,experience,office,coordinator,required,High,proficiency,Mac,computers,computer,applications,Microsoft,Office,well,excellent,verbal,written,communication,skills,necessary,Role,Duties,Reception,Receive,packages,greet,clients,answer,phones,New,meeting,requests,Quote,requests,Product,orders,Update,maintain,internal,tracking,work,site,supervisors,site,details,Work,orders,Coordinate,track,trades,per,project,conjunction,project,manager,Showroom,Assist,walk,ins,maintain,showroom,space,Product,inventory,Track,stock,conjunction,accounting,department,Work,design,team,execute,information,trades,Work,project,management,system,Co,Construct,update,schedules,tasks,Only,candidates,selected,interviews,contacted,Job,Types,Full,time,Permanent,Salary,20,00,25,00,per,hour,Schedule,8,hour,shift,Work,remotely,No,COVID,19,precaution,Remote,interview,process,Social,distancing,guidelines,place,Virtual,meetings,Sanitizing,disinfecting,cleaning,procedures,place,Today,Report,job",Office Coordinator with Construction
7,"Fraser,Health,continues,recognized,one,BC,Top,Employers,looking,join,diverse,organization,offers,equal,opportunity,employees,If,yes,please,keep,reading,Fraser,Health,responsible,delivery,hospital,community,based,health,services,1,8,million,people,20,diverse,communities,Burnaby,Fraser,Canyon,traditional,territories,Coast,Salish,peoples,Our,team,nearly,40,000,staff,medical,staff,volunteers,dedicated,serving,patients,families,communities,deliver,vision,Better,health,best,health,care,We,hire,great,people,excellent,jobs,We,currently,recruiting,temporary,full,time,temporary,part,time,patient,screeners,join,COVID,19,Assessment,Treatment,Centres,In,order,successful,candidate,positon,need,7,days,availability,position,rotation,We,need,help,expand,ability,deliver,timely,professional,services,number,patient,care,areas,Build,career,experience,working,fast,paced,hospital,environment,Creates,welcoming,presence,staff,clients,patients,visitors,Cultivates,safe,informed,environment,individuals,essential,access,site,Directs,essential,patients,employees,assessment,testing,centers,Ensures,patients,visitors,following,safe,physical,distancing,measures,accordance,established,guidelines,To,join,team,looking,Graduation,Grade,12,One,year,recent,related,experience,An,equivalent,combination,education,training,experience,acceptable,Work,experienced,dedicated,team,join,dedication,provide,quality,care,patients,clients,We,invite,apply,today,find,95,new,employees,recommend,Fraser,Health,friends,family,phenomenal,place,work,We,value,diversity,work,force,aim,maintain,environment,Respect,Caring,Trust,1,day,ago,Report,job",Patient Screener
8,"Do,want,work,fun,social,environment,Browns,Socialhouse,Schoolhouse,looking,hire,part,time,Host,Expo,We,looking,fun,enthusiastic,hardworking,individuals,join,team,The,ideal,candidate,must,available,daytime,shifts,Ideal,candidates,Open,availability,An,upbeat,positive,attitude,A,team,player,mentality,Fantastic,work,ethic,If,sounds,like,something,want,apply,please,come,Schoolhouse,location,2pm,4pm,copy,resume,application,one,members,management,team,happy,meet,86network,com,1,day,ago,Report,job",BROWNS SOCIALHOUSE SCHOOLHOUSE
9,"Recycling,Depot,Operator,Regular,Full,Time,One,BC,Top,Employers,City,Coquitlam,offers,meaningful,career,opportunities,make,difference,within,local,community,As,sixth,largest,city,BC,home,150,000,residents,Our,diverse,municipality,great,place,work,continues,grow,innovative,urban,design,inspiring,arts,culture,recreation,programs,state,art,transportation,systems,Our,brand,built,managing,resources,responsible,sustainable,manner,supporting,vibrant,growing,regional,urban,centre,We,envision,bright,future,Coquitlam,hope,includes,We,seeking,responsible,self,starting,individual,operate,maintain,Town,Centre,Park,Recycling,Depot,providing,great,customer,service,citizens,Coquitlam,You,responsible,effectively,efficiently,ensuring,cleanliness,order,depot,ensuring,recyclables,properly,sorted,maintaining,detailed,records,You,also,provide,assistance,recycling,information,members,public,ensure,removal,materials,contractors,participate,investigations,illegal,dumping,Depot,In,addition,ability,work,well,independently,successful,candidates,must,possess,excellent,customer,service,communication,skills,knowledge,experience,recycling,activities,experience,data,recording,entry,Candidates,must,comfortable,working,outside,types,weather,conditions,Experience,delivering,educational,presentations,formal,conflict,resolution,training,considered,assets,A,valid,BC,Driver,licence,required,This,opportunity,one,1,regular,full,time,position,work,Wednesdays,Sundays,either,9,30am,5,30pm,10,15am,6,15pm,A,CUPE,hourly,rate,30,54,plus,excellent,benefits,package,offered,All,applicants,required,upload,recent,driver,abstract,within,last,30,days,application,Good,people,make,Coquitlam,great,sign,career,alerts,recruitment,portal,stay,date,opportunities,within,team,follow,us,LinkedIn,learn,YouCouldWorkHere,Applicants,consideration,required,undergo,police,security,clearance,evaluation,required,upload,recent,driver,abstract,within,last,30,days,Please,apply,online,www,coquitlam,ca,careers,11,55,pm,March,19,2021,The,City,Coquitlam,Equal,Opportunity,Employer,We,thank,applicants,interest,however,selected,interview,contacted,2,days,ago,Report,job",Recycling Depot Operator
10,"Utility,Worker,Parks,Regular,Full,Time,Parks,Recreation,Culture,Facilities,Department,One,BC,Top,Employers,City,Coquitlam,offers,meaningful,career,opportunities,make,difference,within,local,community,As,sixth,largest,city,BC,home,150,000,residents,Our,diverse,municipality,great,place,work,continues,grow,innovative,urban,design,inspiring,arts,culture,recreation,programs,state,art,transportation,systems,Our,brand,built,managing,resources,responsible,sustainable,manner,supporting,vibrant,growing,regional,urban,centre,We,envision,bright,future,Coquitlam,hope,includes,The,City,Coquitlam,currently,recruiting,two,regular,full,time,Utility,Worker,Parks,join,team,professionals,Parks,Division,This,CUPE,Local,386,position,Reporting,Asset,Operations,Manager,Utility,Worker,Parks,responsible,performing,semi,skilled,manual,work,related,maintenance,inspection,repair,installation,park,features,including,playground,equipment,park,furniture,volleyball,tennis,basketball,ball,hockey,courts,lighting,systems,fencing,backstops,bike,track,skateboard,facilities,pathways,related,paved,areas,Additional,responsibilities,include,maintaining,routine,work,records,mobile,device,undertaking,special,projects,assignments,required,ensuring,parks,clean,safe,public,use,Applicants,considerable,knowledge,park,amenities,furnishings,structures,playgrounds,well,rules,regulations,governing,use,The,Incumbent,also,familiar,methods,materials,equipment,tools,used,performing,routine,parks,maintenance,tasks,including,maintaining,grounds,structures,miscellaneous,parks,infrastructure,Additional,requirements,include,ability,perform,variety,parks,maintenance,tasks,semi,skilled,unskilled,repair,work,construction,maintenance,gardening,routine,natural,artificial,turf,minimal,supervision,These,attributes,matched,Grade,10,plus,completion,BC,Recreation,Parks,Association,Playground,Safety,Awareness,Course,supplemented,completion,basic,carpentry,landscaping,courses,plus,experience,general,parks,maintenance,landscape,work,OR,equivalent,combination,training,experience,Availability,weekend,work,Driver,License,Province,British,Columbia,also,required,The,CUPE,hourly,rate,30,54,plus,excellent,benefits,package,offered,Applicants,consideration,required,undergo,police,security,clearance,evaluation,Please,apply,online,www,coquitlam,ca,careers,11,55,pm,March,21,2021,The,City,Coquitlam,Equal,Opportunity,Employer,We,thank,applicants,interest,however,selected,interview,contacted,CivicInfo,BC,1,day,ago,Report,job",Utility Worker
11,"We,looking,A,mature,hard,working,outgoing,person,positive,attitude,join,Cactus,family,We,currently,looking,fill,Front,Desk,Host,ess,role,4,5,shifts,per,week,We,also,part,time,role,available,minimum,3,shifts,per,week,Experience,restaurant,industry,preferred,requirement,Only,select,individuals,contacted,interview,due,large,number,applicants,receive,86network,com,1,day,ago,Report,job",Hiring PT
