,skills,job_title
12,"We,small,eCommerce,company,selling,hobby,products,nail,polish,yarn,stationery,craft,supplies,You,primarily,picking,packing,orders,applying,shipping,labels,We,pretty,relaxed,long,work,quickly,put,headphones,listen,music,podcasts,audio,books,really,ambitious,folks,Responsibilities,include,Order,Picking,picking,wide,variety,small,products,nail,polish,makeup,skincare,yarn,etc,Order,Packing,taping,boxes,wrapping,products,bubble,wrap,packing,products,securely,working,mostly,small,items,Preparing,shipments,shipping,via,Canada,Post,UPS,entering,addresses,printing,sticking,labels,Restocking,organizing,inventory,Other,duties,needed,Qualifications,Able,work,independently,Very,organized,Excellent,attention,detail,Self,motivated,Fast,packer,good,hands,working,lots,small,items,Strong,communication,skills,Work,Hours,Monday,Friday,7,30am,4,00pm,Job,Types,Full,time,Permanent,Salary,15,00,16,00,per,hour,Job,Types,Full,time,Permanent,Salary,15,00,16,00,per,hour,Schedule,8,hour,shift,24,days,ago,Report,job",Online Retailer Full
13,"Urgently,hiring,Customer,Service,Storefront,Full,time,Position,Description,As,team,member,top,priority,guest,satisfaction,Whether,first,person,guests,encounter,producing,quality,finished,bakery,items,guests,come,enjoy,love,opportunity,deliver,create,exceptional,guest,experiences,Your,energy,passion,guest,service,make,top,team,member,fast,paced,environment,ability,multi,task,communicate,fellow,team,members,contribute,success,Apply,job,Demonstrate,passion,guest,service,creating,exceptional,guest,experiences,Enjoy,working,successful,team,safe,environment,Have,strong,work,ethic,committed,team,As,part,team,offer,Comprehensive,training,Health,Dental,Benefits,Incentive,recognition,programs,Team,Tim,Hortons,Scholarship,Program,Advancement,opportunities,Community,involvement,Expected,Start,Date,2021,03,08,Job,Type,Full,time,Salary,14,00,16,00,per,hour,Benefits,Dental,care,Discounted,free,food,Extended,health,care,Flexible,schedule,On,site,parking,Vision,care,Schedule,8,hour,shift,Education,Secondary,School,Required,Work,remotely,No,COVID,19,precaution,Personal,protective,equipment,provided,required,Plastic,shield,work,stations,Temperature,screenings,Social,distancing,guidelines,place,Sanitizing,disinfecting,cleaning,procedures,place,1,day,ago,Report,job",Store Front
14,"The,City,Burnaby,dedication,creating,sustaining,best,quality,life,work,live,learn,play,supported,goals,keep,us,invested,growth,progress,With,commitment,safe,inclusive,thriving,dynamic,community,objective,hire,like,minded,individuals,share,passion,commitment,employment,contribute,already,outstanding,team,If,passionate,making,difference,community,want,hear,The,Auxiliary,Clerical,Team,City,Burnaby,exciting,opportunity,begin,municipal,career,As,Auxiliary,Clerical,Team,member,opportunity,work,variety,clerical,administrative,assignments,throughout,various,departments,City,including,Engineering,Finance,Information,Technology,departments,Both,full,time,part,time,assignments,varying,lengths,available,depending,operational,requirements,Successful,candidates,provide,coverage,short,term,leaves,special,projects,assist,additional,workflow,Joining,Auxiliary,Clerical,Team,allow,grow,knowledge,City,operations,gain,unique,municipal,experience,allowing,flexibility,apply,skills,diverse,number,City,departments,Position,Requirements,Successful,applicants,possess,following,skills,knowledge,abilities,Proficiency,Microsoft,Office,Word,Excel,Ability,type,minimum,45wpm,Ability,learn,tasks,computer,systems,quickly,Strong,teamwork,customer,services,skills,Experience,working,SAP,another,ERP,system,required,considered,strong,asset,Excellent,interpersonal,skills,focus,providing,customer,service,internal,external,customers,If,ambitious,ability,manage,priorities,professional,efficient,timely,manner,well,adaptable,excel,environment,teamwork,collaboration,required,meet,departmental,organisational,goals,apply,today,Auxiliary,Clerical,Team,members,must,available,work,8,00,AM,4,45,PM,Monday,Friday,8,00,PM,Thursdays,Special,short,term,projects,may,also,require,weekend,availability,This,competition,remain,open,filled,however,interviews,happen,periodically,competition,closed,Please,contact,Human,Resources,604,294,7303,If,receive,confirmation,email,within,one,hour,submitting,application,online,Copies,relevant,professional,certificates,degrees,tickets,required,time,interview,30,days,ago,Report,job",Office Assistant (Clerk Typist 2)
15,"We,women,health,physiotherapy,clinic,The,clinical,office,staffs,team,enhance,client,experience,recovery,So,people,skills,compassion,empathy,absolute,must,job,Excellent,phone,skills,organizational,skills,computer,skills,Intuit,Quickbook,Google,forms,Adobe,etc,also,necessary,Knowledge,ClinicMaster,EMR,book,keeping,knowledge,french,plus,The,job,also,entice,minor,maintenance,activities,laundry,vacuuming,dusting,work,station,part,disinfection,clients,The,clinic,expansion,phase,work,hours,might,grow,full,time,position,Reference,ID,Office,assistant,Part,time,hours,20,25,per,week,Application,deadline,2021,03,04,Expected,start,date,2021,03,15,Job,Types,Full,time,Part,time,Permanent,Salary,From,18,00,per,hour,Benefits,Flexible,schedule,On,site,parking,Tuition,reimbursement,Schedule,Day,shift,No,weekends,COVID,19,considerations,Daily,COVID,19,screen,form,temperature,taken,All,clients,staffs,The,masks,eye,protection,supplied,clinic,Plexiglass,shield,front,staff,All,surfaces,touched,disinfected,client,clinic,Experience,relevant,2,years,Required,Administrative,Duties,Scheduling,Running,errands,Stocking,supplies,Answering,routing,phone,calls,Managing,social,media,Greeting,visitors,Financial,Duties,Processing,expense,reports,Processing,payments,Billing,Payroll,Purchasing,25,days,ago,Report,job",Front Office Assistant
16,"Recycling,Depot,Operator,Regular,Full,Time,One,BC,Top,Employers,City,Coquitlam,offers,meaningful,career,opportunities,make,difference,within,local,community,As,sixth,largest,city,BC,home,150,000,residents,Our,diverse,municipality,great,place,work,continues,grow,innovative,urban,design,inspiring,arts,culture,recreation,programs,state,art,transportation,systems,Our,brand,built,managing,resources,responsible,sustainable,manner,supporting,vibrant,growing,regional,urban,centre,We,envision,bright,future,Coquitlam,hope,includes,We,seeking,responsible,self,starting,individual,operate,maintain,Town,Centre,Park,Recycling,Depot,providing,great,customer,service,citizens,Coquitlam,You,responsible,effectively,efficiently,ensuring,cleanliness,order,depot,ensuring,recyclables,properly,sorted,maintaining,detailed,records,You,also,provide,assistance,recycling,information,members,public,ensure,removal,materials,contractors,participate,investigations,illegal,dumping,Depot,In,addition,ability,work,well,independently,successful,candidates,must,possess,excellent,customer,service,communication,skills,knowledge,experience,recycling,activities,experience,data,recording,entry,Candidates,must,comfortable,working,outside,types,weather,conditions,Experience,delivering,educational,presentations,formal,conflict,resolution,training,considered,assets,A,valid,BC,Driver,licence,required,This,opportunity,one,1,regular,full,time,position,work,Wednesdays,Sundays,either,9,30am,5,30pm,10,15am,6,15pm,A,CUPE,hourly,rate,30,54,plus,excellent,benefits,package,offered,All,applicants,required,upload,recent,driver,abstract,within,last,30,days,application,Good,people,make,Coquitlam,great,sign,career,alerts,recruitment,portal,stay,date,opportunities,within,team,follow,us,LinkedIn,learn,YouCouldWorkHere,Applicants,consideration,required,undergo,police,security,clearance,evaluation,required,upload,recent,driver,abstract,within,last,30,days,Please,apply,online,www,coquitlam,ca,careers,11,55,pm,March,19,2021,The,City,Coquitlam,Equal,Opportunity,Employer,We,thank,applicants,interest,however,selected,interview,contacted,2,days,ago,Report,job",Recycling Depot Operator
17,"The,City,Burnaby,dedication,creating,sustaining,best,quality,life,work,live,learn,play,supported,goals,keep,us,invested,growth,progress,With,commitment,safe,inclusive,thriving,dynamic,community,objective,hire,like,minded,individuals,share,passion,commitment,employment,contribute,already,outstanding,team,If,passionate,making,difference,community,want,hear,The,Auxiliary,Clerical,Team,City,Burnaby,exciting,opportunity,begin,municipal,career,As,Auxiliary,Clerical,Team,member,opportunity,work,variety,clerical,administrative,assignments,throughout,various,departments,City,including,Engineering,Finance,Information,Technology,departments,Both,full,time,part,time,assignments,varying,lengths,available,depending,operational,requirements,Successful,candidates,provide,coverage,short,term,leaves,special,projects,assist,additional,workflow,Joining,Auxiliary,Clerical,Team,allow,grow,knowledge,City,operations,gain,unique,municipal,experience,allowing,flexibility,apply,skills,diverse,number,City,departments,Position,Requirements,Successful,applicants,possess,following,skills,knowledge,abilities,Proficiency,Microsoft,Office,Word,Excel,Ability,type,minimum,45wpm,Ability,learn,tasks,computer,systems,quickly,Strong,teamwork,customer,services,skills,Experience,working,SAP,another,ERP,system,required,considered,strong,asset,Excellent,interpersonal,skills,focus,providing,customer,service,internal,external,customers,If,ambitious,ability,manage,priorities,professional,efficient,timely,manner,well,adaptable,excel,environment,teamwork,collaboration,required,meet,departmental,organisational,goals,apply,today,Auxiliary,Clerical,Team,members,must,available,work,8,00,AM,4,45,PM,Monday,Friday,8,00,PM,Thursdays,Special,short,term,projects,may,also,require,weekend,availability,This,competition,remain,open,filled,however,interviews,happen,periodically,competition,closed,Please,contact,Human,Resources,604,294,7303,If,receive,confirmation,email,within,one,hour,submitting,application,online,Copies,relevant,professional,certificates,degrees,tickets,required,time,interview,30,days,ago,Report,job",Office Assistant (Clerk Typist 2)
18,"Company,description,Legends,Grocery,Co,Is,locally,focused,online,grocery,company,Founded,early,2020,goal,bring,many,locally,made,grown,products,peoples,home,possible,Our,missing,always,deliver,Ridiculously,Good,Groceries,Job,description,Grocery,Product,Picking,Safe,thoughtful,boxing,packaging,products,Working,quick,efficiently,Working,communicating,team,Attention,detail,Customer,focused,attitude,key,Job,Types,Full,time,Part,time,Permanent,Salary,16,00,18,00,per,hour,Schedule,8,hour,shift,Day,shift,Monday,Friday,Weekends,5,days,ago,Report,job",Order Picker
19,"Trail,Appliances,leading,independent,appliance,retailer,Western,Canada,With,11,showrooms,Clearance,Centre,offices,Richmond,Vancouver,Annacis,Island,Cloverdale,fast,growing,company,500,employees,British,Columbia,The,Warehouse,Showroom,Assistant,strive,create,amazing,customer,experience,ensuring,world,class,product,presentation,You,achieve,performing,ongoing,maintenance,displays,unpacking,moving,appliances,around,showroom,small,fixture,repairs,general,warehouse,tasks,As,Warehouse,Showroom,Assistant,Facilitate,physical,movement,appliances,around,showroom,warehouse,areas,Unpack,prepare,appliances,display,Assist,installation,appliances,possible,Coordinate,shipping,receiving,documents,products,moving,store,warehouse,Perform,maintain,general,cleaning,schedule,showroom,including,staff,rooms,office,areas,bathrooms,warehouse,areas,We,hope,passionate,Working,fast,paced,environment,Creating,great,experiences,customers,The,experience,need,Keen,eye,detail,general,upkeep,retail,displays,Previous,retail,showroom,display,warehousing,experience,Ability,lift,move,heavy,objects,appliances,greater,100,lbs,Experience,small,repairs,comfort,using,hand,power,tools,Exceptional,customer,service,skills,friendly,demeanor,Work,environment,Showroom,environment,Full,Time,40,hours,week,Tuesday,Saturday,8,30am,5,00pm,INDHP,We,inspire,possibilities,make,shopping,ridiculously,easy,help,create,special,moments,home,Are,ready,meet,team,4,days,ago,Report,job",Warehouse Assistant
20,"The,Operations,Assistant,works,various,areas,factory,provide,coverage,vacation,leaves,absences,support,peak,seasons,This,fantastic,opportunity,gain,experience,work,towards,permanent,employment,supplement,income,temporary,seasonal,work,In,fast,paced,facility,promote,safety,teamwork,positivity,taking,consideration,company,commitment,seven,Core,Values,Sustainability,people,planet,profit,planning,implementation,actions,related,area,responsibility,Job,description,duties,dependent,position,placed,Company,Overview,As,leading,manufacturer,nutritional,supplements,health,building,products,dedicated,enhancing,wellbeing,customers,research,development,delivery,effective,nutritional,products,It,mission,contribute,lives,customers,employees,suppliers,communities,serve,cooperative,sustainable,manner,Posting,Details,This,position,open,qualified,applicants,legally,entitled,work,country,job,located,Only,electronic,applications,accepted,This,position,close,competitive,candidate,pool,identified,We,thank,applications,however,selected,interview,contacted,You,check,status,application,logging,account,All,best,FG,OCC,Country,Canada,Province,State,British,Columbia,30,days,ago,Report,job",Production Worker (Temporary FT
21,"Steam,Dry,Canada,leader,home,services,business,furnace,duct,cleaning,carpet,cleaning,upholstery,cleaning,emergency,services,looking,professional,self,starter,join,team,Steam,Dry,Canada,progressive,company,focuses,quality,work,customer,service,every,aspect,business,We,looking,individual,shares,vision,customer,service,The,Right,Candidate,reliable,dependent,possess,leadership,qualities,strong,communication,skills,self,motivated,focused,work,minimal,supervision,average,computer,skills,What,expect,Steam,Dry,Canada,Work,company,prides,positive,respectful,progressive,environment,Opportunities,advancement,Industry,leading,wages,bonus,structure,Employee,benefits,If,position,sounds,like,right,fit,please,email,resume,Job,Types,Full,time,Permanent,Salary,50,000,00,65,000,00,per,year,Job,Types,Full,time,Permanent,Salary,50,000,00,60,000,00,per,year,Work,remotely,No,COVID,19,precaution,Remote,interview,process,Social,distancing,guidelines,place,8,days,ago,Report,job",Branch Manager
22,"We,family,owned,operated,butcher,shop,bistro,located,family,farm,We,passionate,eating,local,looking,motivated,team,members,share,love,good,food,great,customer,service,We,currently,hiring,DELI,PRODUCTION,ASSISTANT,For,position,need,Must,able,work,least,one,weekend,day,To,upbeat,friendly,attitude,To,great,work,ethic,fast,paced,team,environment,DELI,PRODUCTION,Responsibilities,Package,cryovac,price,stock,deli,retail,items,Filling,Rotating,deli,items,retail,shelves,Operate,Maintain,machinery,slicer,cryovac,work,stations,End,day,clean,deli,rooms,Working,Conditions,Refrigerated,Rooms,Hot,Cold,Water,Handling,raw,meat,Fresh,Frozen,Working,sharp,knives,equipment,Why,staff,love,working,Flexible,Hours,Benefits,Annual,Company,BBQ,Events,Staff,Family,Discounts,Year,End,Bonuses,Room,Growth,Advancement,Email,resume,better,yet,drop,person,Job,Types,Full,time,Part,time,Salary,From,15,00,per,hour,Work,remotely,No,COVID,19,precaution,Personal,protective,equipment,provided,required,Plastic,shield,work,stations,Social,distancing,guidelines,place,Sanitizing,disinfecting,cleaning,procedures,place,3,days,ago,Report,job",Deli Production Assistant
23,"Our,company,provides,clients,value,unbeatable,customer,service,complete,transparency,integrity,That,makes,us,successful,We,currently,looking,service,minded,individuals,good,communication,skills,fill,several,roles,include,sales,customer,service,Daily,activities,include,Inbound,outbound,calling,setting,appointments,performing,presentations,members,unions,request,benefits,basic,computer,knowledge,completing,necessary,paperwork,quality,control,leadership,development,Position,Benefits,Extensive,training,areas,No,experience,needed,Great,benefits,Fast,paced,fun,environment,Our,reps,average,50k,80k,first,year,Leadership,development,training,Great,weekly,pay,bonuses,Note,equal,opportunity,employer,welcome,applicants,Daily,activities,include,Inbound,outbound,calling,setting,appointments,performing,presentations,members,unions,request,benefits,basic,computer,knowledge,completing,necessary,paperwork,quality,control,leadership,development,What,looking,Team,player,mentality,Punctuality,Strong,customer,service,skills,Basic,computer,skills,Friendly,personality,Detail,oriented,Eager,willing,learn,If,feel,possess,qualities,looking,would,like,see,fit,company,apply,We,looking,hire,end,week,I,set,interview,soonest,available,date,We,email,back,promptly,please,check,emails,response,3nYeRP64Fo,4,days,ago,Report,job",Management Positions
24,"At,Lowe,Canada,26,000,employees,let,passion,blossom,every,day,Our,teams,driven,desire,help,people,bring,projects,life,committed,making,difference,communities,serve,We,operate,service,470,corporate,affiliated,dealer,stores,With,distinctive,product,service,offering,complementary,store,formats,ranging,neighbourhood,hardware,stores,big,box,stores,Lowe,RONA,Reno,Depot,Dick,Lumber,banners,always,looking,dedicated,employees,help,meet,needs,DIYers,contractors,You,got,talent,We,got,tools,Here,work,ideas,contribute,building,flourishing,organization,Your,voice,always,heard,valued,You,find,career,opportunities,live,ambitions,able,develop,unique,set,skills,So,looking,love,grow,evolve,within,family,one,best,employers,Canada,according,recent,Forbes,survey,could,perfect,Your,role,Greet,customers,warmly,ensure,good,customer,experience,Assess,customer,needs,provide,expert,advice,horticulture,nursery,department,products,Present,demonstrate,product,highlighting,positive,features,suggest,complementary,products,Maintaining,plants,Support,marketing,products,department,display,merchandise,visual,presentation,labelling,Keep,date,new,products,functions,Ensure,participate,maintenance,department,Be,aware,current,promotions,flyers,Develop,basic,knowledge,departments,store,If,required,operate,forklift,accordance,procedures,policies,organization,Comply,policies,procedures,regarding,loss,prevention,breakage,goods,health,safety,Perform,duties,requested,supervisor,Job,Requirements,The,qualifications,looking,Do,like,physical,work,without,renovation,pro,Do,knack,first,class,customer,service,You,takes,team,ASSET,experience,customer,service,plus,knowledge,Garden,Centre,department,Your,benefits,working,Lowe,Canada,By,joining,Lowe,Canada,family,enjoy,many,benefits,A,fitness,centre,sports,activities,showers,A,childcare,centre,accommodate,78,children,A,cafeteria,delicious,menu,prepared,dedicated,chef,healthy,options,well,Starbucks,Tim,Hortons,coffee,stations,Exclusive,employee,discounts,plus,10,discount,store,merchandise,Lowe,Canada,locations,Benefits,retirement,savings,plan,annual,bonuses,stock,purchase,plan,student,incentive,program,etc,Flexible,hours,remote,working,Electric,car,charging,stations,Career,growth,opportunities,within,company,An,inclusive,safe,working,environment,Promotion,work,life,balance,An,employer,involved,community,And,much,The,masculine,generic,used,without,discrimination,order,simplify,text,Lowe,Canada,committed,encouraging,diversity,inclusion,We,pleased,consider,applications,qualified,candidates,regardless,race,colour,religion,sexual,orientation,gender,nationality,age,disability,status,protected,law,2,days,ago,Report,job",Advisor
25,"Utility,Worker,Parks,Regular,Full,Time,Parks,Recreation,Culture,Facilities,Department,One,BC,Top,Employers,City,Coquitlam,offers,meaningful,career,opportunities,make,difference,within,local,community,As,sixth,largest,city,BC,home,150,000,residents,Our,diverse,municipality,great,place,work,continues,grow,innovative,urban,design,inspiring,arts,culture,recreation,programs,state,art,transportation,systems,Our,brand,built,managing,resources,responsible,sustainable,manner,supporting,vibrant,growing,regional,urban,centre,We,envision,bright,future,Coquitlam,hope,includes,The,City,Coquitlam,currently,recruiting,two,regular,full,time,Utility,Worker,Parks,join,team,professionals,Parks,Division,This,CUPE,Local,386,position,Reporting,Asset,Operations,Manager,Utility,Worker,Parks,responsible,performing,semi,skilled,manual,work,related,maintenance,inspection,repair,installation,park,features,including,playground,equipment,park,furniture,volleyball,tennis,basketball,ball,hockey,courts,lighting,systems,fencing,backstops,bike,track,skateboard,facilities,pathways,related,paved,areas,Additional,responsibilities,include,maintaining,routine,work,records,mobile,device,undertaking,special,projects,assignments,required,ensuring,parks,clean,safe,public,use,Applicants,considerable,knowledge,park,amenities,furnishings,structures,playgrounds,well,rules,regulations,governing,use,The,Incumbent,also,familiar,methods,materials,equipment,tools,used,performing,routine,parks,maintenance,tasks,including,maintaining,grounds,structures,miscellaneous,parks,infrastructure,Additional,requirements,include,ability,perform,variety,parks,maintenance,tasks,semi,skilled,unskilled,repair,work,construction,maintenance,gardening,routine,natural,artificial,turf,minimal,supervision,These,attributes,matched,Grade,10,plus,completion,BC,Recreation,Parks,Association,Playground,Safety,Awareness,Course,supplemented,completion,basic,carpentry,landscaping,courses,plus,experience,general,parks,maintenance,landscape,work,OR,equivalent,combination,training,experience,Availability,weekend,work,Driver,License,Province,British,Columbia,also,required,The,CUPE,hourly,rate,30,54,plus,excellent,benefits,package,offered,Applicants,consideration,required,undergo,police,security,clearance,evaluation,Please,apply,online,www,coquitlam,ca,careers,11,55,pm,March,21,2021,The,City,Coquitlam,Equal,Opportunity,Employer,We,thank,applicants,interest,however,selected,interview,contacted,CivicInfo,BC,1,day,ago,Report,job",Utility Worker
